seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	curve_spectre_edges	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
37	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	7.696151	20.026281	8.196151	19.160256	7.330126	18.660256	6.464101	19.160256	5.964101	18.294231	4.964101	18.294231	3.964101	18.294231	3.464101	19.160256	4.330126	19.660256	4.330126	20.660256	5.330126	20.660256	5.830126	21.526281	6.696151	21.026281	6.696151	20.026281
38	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	8.330127	17.660257	8.830127	16.794232	7.964102	16.294232	7.098076	16.794232	6.598076	15.928206	5.598076	15.928206	4.598076	15.928206	4.098076	16.794231	4.964101	17.294231	4.964101	18.294231	5.964101	18.294231	6.464101	19.160257	7.330127	18.660257	7.330127	17.660257
39	#8080ff	#000000	#00000000	#00000000			48.016656	43.748711	9.696153	14.562183	9.696153	13.562183	8.696153	13.562183	8.196153	14.428208	7.330128	13.928208	6.464103	14.428208	5.598078	14.928208	5.598078	15.928208	6.598078	15.928208	7.098078	16.794233	7.964103	16.294233	8.830128	16.794233	9.330128	15.928208	8.830128	15.062183
40	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	9.330126	11.196152	8.830126	10.330126	7.964100	10.830126	7.964100	11.830126	6.964100	11.830126	6.464100	12.696151	5.964100	13.562176	6.464100	14.428202	7.330126	13.928202	8.196151	14.428202	8.696151	13.562177	9.696151	13.562177	9.696151	12.562177	8.830126	12.062177
41	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	7.598076	9.464102	7.098076	10.330127	7.964101	10.830127	8.830126	10.330127	9.330126	11.196152	10.330126	11.196152	11.330126	11.196152	11.830126	10.330127	10.964101	9.830127	10.964101	8.830127	9.964101	8.830127	9.464101	7.964102	8.598076	8.464102	8.598076	9.464102
42	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	8.232051	7.098077	7.732051	7.964102	8.598076	8.464102	9.464102	7.964102	9.964102	8.830128	10.964102	8.830128	11.964102	8.830128	12.464102	7.964103	11.598077	7.464103	11.598077	6.464103	10.598077	6.464103	10.098077	5.598077	9.232051	6.098077	9.232051	7.098077
43	#8080ff	#000000	#00000000	#00000000			48.016656	43.748711	11.598077	7.464103	12.464102	7.964103	12.964102	7.098078	12.464102	6.232052	13.330128	5.732052	13.330128	4.732052	13.330128	3.732052	12.464103	3.232052	11.964103	4.098077	10.964103	4.098077	10.964103	5.098077	10.098077	5.598077	10.598077	6.464103	11.598077	6.464103
44	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	14.696153	8.830129	15.696153	8.830129	15.696153	7.830129	14.830128	7.330129	15.330128	6.464104	14.830128	5.598078	14.330128	4.732052	13.330128	4.732052	13.330128	5.732052	12.464102	6.232052	12.964102	7.098078	12.464102	7.964103	13.330127	8.464103	14.196153	7.964103
45	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.062178	8.196154	18.062178	8.196154	18.062178	7.196154	17.196152	6.696154	17.696152	5.830128	17.196152	4.964103	16.696152	4.098078	15.696152	4.098078	15.696152	5.098078	14.830127	5.598078	15.330127	6.464103	14.830127	7.330129	15.696153	7.830129	16.562178	7.330129
46	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.062178	8.196154	16.562178	9.062179	17.428203	9.562179	18.294229	9.062179	18.794229	9.928205	19.794229	9.928205	20.794229	9.928205	21.294229	9.062180	20.428204	8.562180	20.428204	7.562180	19.428204	7.562180	18.928204	6.696154	18.062178	7.196154	18.062178	8.196154
