seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
57	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.866028	3.000000	6.866028	2.999999	6.866028	3.999999	7.732053	4.499999	7.232053	5.366024	8.232053	7.098075	9.232053	7.098075	9.232053	6.098075	10.098078	5.598075	9.598078	4.732050	10.098078	3.866025	9.232053	3.366025	8.366028	3.866025
58	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.232053	5.366024	7.732053	4.499999	6.866028	3.999999	6.000002	4.499999	5.500002	3.633973	3.500002	3.633973	3.000002	4.499998	3.866027	4.999998	3.866027	5.999998	4.866027	5.999998	5.366027	6.866024	6.232053	6.366024	6.232053	5.366024
59	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	4.133978	1.267949	3.633978	0.401924	2.767953	0.901924	2.767953	1.901924	1.767953	1.901924	0.767953	3.633975	1.267953	4.500000	2.133978	4.000000	3.000003	4.500000	3.500003	3.633975	4.500003	3.633975	4.500003	2.633974	3.633978	2.133974
60	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	1.767953	1.901923	2.767953	1.901923	2.767953	0.901924	1.901928	0.401924	2.401928	-0.464101	1.401928	-2.196152	0.401928	-2.196152	0.401928	-1.196152	-0.464097	-0.696152	0.035903	0.169873	-0.464097	1.035898	0.401928	1.535898	1.267953	1.035898
61	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	-1.598072	4.267950	-1.098072	5.133975	-0.232047	4.633975	-0.232047	3.633975	0.767953	3.633975	1.767953	1.901924	1.267953	1.035898	0.401928	1.535898	-0.464098	1.035898	-0.964098	1.901924	-1.964098	1.901924	-1.964098	2.901924	-1.098072	3.401924
62	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	0.767953	3.633975	-0.232047	3.633975	-0.232047	4.633975	0.633979	5.133975	0.133979	6.000001	1.133979	7.732052	2.133979	7.732052	2.133979	6.732052	3.000004	6.232052	2.500004	5.366027	3.000004	4.500001	2.133978	4.000001	1.267953	4.500001
63	#8080ff	#000000	#00000000	#00000000		48.016654	43.748719	3.866030	5.000001	3.000004	4.500001	2.500004	5.366027	3.000004	6.232052	2.133979	6.732052	2.133979	8.732052	3.000005	9.232052	3.500005	8.366026	4.500005	8.366026	4.500005	7.366026	5.366030	6.866026	4.866030	6.000001	3.866030	6.000001
64	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	-1.598072	4.267950	-2.598072	4.267950	-2.598072	5.267950	-1.732046	5.767950	-2.232046	6.633976	-1.232045	8.366027	-0.232045	8.366027	-0.232045	7.366027	0.633980	6.866027	0.133980	6.000002	0.633979	5.133975	-0.232047	4.633975	-1.098072	5.133975
65	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	-1.232046	8.366027	-1.732046	9.232053	-0.866020	9.732053	0.000005	9.232053	0.500005	10.098078	2.500005	10.098077	3.000005	9.232051	2.133979	8.732052	2.133979	7.732052	1.133979	7.732052	0.633979	6.866027	-0.232046	7.366027	-0.232046	8.366027
66	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	4.232056	11.830127	4.732056	10.964101	3.866030	10.464101	3.000005	10.964101	2.500005	10.098076	0.500005	10.098078	0.000005	10.964104	0.866031	11.464104	0.866031	12.464104	1.866031	12.464103	2.366031	13.330128	3.232056	12.830128	3.232056	11.830128
67	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	-0.133969	12.464103	0.866031	12.464103	0.866031	11.464104	0.000006	10.964104	0.500006	10.098079	-0.499994	8.366028	-1.499994	8.366028	-1.499994	9.366028	-2.366019	9.866028	-1.866019	10.732053	-2.366019	11.598078	-1.499994	12.098078	-0.633969	11.598078
68	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	5.866030	7.732049	5.366030	6.866024	4.500005	7.366024	4.500005	8.366024	3.500005	8.366024	2.500005	10.098075	3.000005	10.964101	3.866030	10.464101	4.732056	10.964101	5.232056	10.098075	6.232056	10.098075	6.232056	9.098075	5.366030	8.598075
69	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.598081	9.464100	8.598081	9.464100	8.598081	8.464100	7.732055	7.964100	8.232055	7.098074	7.232054	5.366023	6.232054	5.366023	6.232054	6.366023	5.366029	6.866023	5.866029	7.732048	5.366029	8.598074	6.232056	9.098075	7.098081	8.598075
70	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	7.598081	9.464101	7.098081	8.598076	6.232056	9.098076	6.232056	10.098075	5.232056	10.098075	4.232056	11.830126	4.732056	12.696151	5.598081	12.196151	6.464106	12.696151	6.964106	11.830126	7.964106	11.830126	7.964106	10.830126	7.098081	10.330126
71	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	4.232056	11.830126	3.232056	11.830126	3.232056	12.830126	4.098082	13.330126	3.598082	14.196152	4.598082	15.928203	5.598082	15.928203	5.598082	14.928203	6.464107	14.428203	5.964107	13.562178	6.464107	12.696152	5.598081	12.196152	4.732056	12.696152
72	#d0d0d0	#000000	#00000000	#00000000		48.016654	43.748719	1.866031	12.464101	0.866031	12.464101	0.866031	13.464101	1.732057	13.964101	1.232057	14.830127	2.232058	16.562178	3.232058	16.562178	3.232058	15.562178	4.098083	15.062178	3.598083	14.196153	4.098083	13.330127	3.232056	12.830126	2.366031	13.330126
