seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5
17	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	12.000000	2.598076	11.500000	3.464102	10.500000	3.464102	10.000000	2.598076	10.500000	1.732051	11.500000	1.732051
18	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	13.500000	1.732051	13.000000	2.598076	12.000000	2.598076	11.500000	1.732051	12.000000	0.866025	13.000000	0.866025
19	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	15.000000	2.598076	14.500000	3.464102	13.500000	3.464102	13.000000	2.598076	13.500000	1.732051	14.500000	1.732051
20	#FF8080	#FF3838	#80FF80	#38FF38	13.000000	14.722432	1.500000	3.464102	1.000000	4.330127	0.000000	4.330127	-0.500000	3.464102	0.000000	2.598076	1.000000	2.598076
21	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	3.000000	4.330127	2.500000	5.196152	1.500000	5.196152	1.000000	4.330127	1.500000	3.464102	2.500000	3.464102
22	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	4.500000	3.464102	4.000000	4.330127	3.000000	4.330127	2.500000	3.464102	3.000000	2.598076	4.000000	2.598076
23	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	6.000000	4.330127	5.500000	5.196152	4.500000	5.196152	4.000000	4.330127	4.500000	3.464102	5.500000	3.464102
24	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	7.500000	3.464102	7.000000	4.330127	6.000000	4.330127	5.500000	3.464102	6.000000	2.598076	7.000000	2.598076
25	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	9.000000	4.330127	8.500000	5.196152	7.500000	5.196152	7.000000	4.330127	7.500000	3.464102	8.500000	3.464102
26	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	10.500000	3.464102	10.000000	4.330127	9.000000	4.330127	8.500000	3.464102	9.000000	2.598076	10.000000	2.598076
27	#FF8080	#FF3838	#80FF80	#38FF38	13.000000	14.722432	12.000000	4.330127	11.500000	5.196152	10.500000	5.196152	10.000000	4.330127	10.500000	3.464102	11.500000	3.464102
28	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	13.500000	3.464102	13.000000	4.330127	12.000000	4.330127	11.500000	3.464102	12.000000	2.598076	13.000000	2.598076
29	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	15.000000	4.330127	14.500000	5.196152	13.500000	5.196152	13.000000	4.330127	13.500000	3.464102	14.500000	3.464102
30	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	1.500000	5.196152	1.000000	6.062178	0.000000	6.062178	-0.500000	5.196152	0.000000	4.330127	1.000000	4.330127
31	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	3.000000	6.062178	2.500000	6.928203	1.500000	6.928203	1.000000	6.062178	1.500000	5.196152	2.500000	5.196152
32	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	4.500000	5.196152	4.000000	6.062178	3.000000	6.062178	2.500000	5.196152	3.000000	4.330127	4.000000	4.330127
33	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	6.000000	6.062178	5.500000	6.928203	4.500000	6.928203	4.000000	6.062178	4.500000	5.196152	5.500000	5.196152
34	#FF8080	#FF3838	#80FF80	#38FF38	13.000000	14.722432	7.500000	5.196152	7.000000	6.062178	6.000000	6.062178	5.500000	5.196152	6.000000	4.330127	7.000000	4.330127
35	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	9.000000	6.062178	8.500000	6.928203	7.500000	6.928203	7.000000	6.062178	7.500000	5.196152	8.500000	5.196152
36	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	10.500000	5.196152	10.000000	6.062178	9.000000	6.062178	8.500000	5.196152	9.000000	4.330127	10.000000	4.330127
37	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	12.000000	6.062178	11.500000	6.928203	10.500000	6.928203	10.000000	6.062178	10.500000	5.196152	11.500000	5.196152
38	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	13.500000	5.196152	13.000000	6.062178	12.000000	6.062178	11.500000	5.196152	12.000000	4.330127	13.000000	4.330127
39	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	15.000000	6.062178	14.500000	6.928203	13.500000	6.928203	13.000000	6.062178	13.500000	5.196152	14.500000	5.196152
